case_type,people_total_tested_count,cases,difference,date,combined_key,country_region,province_state,admin2,iso2,iso3,fips,lat,long,population_count,people_hospitalized_cumulative_count,data_source,prep_flow_runtime
Confirmed,,2325,57,2020-04-21,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,127,0,2020-03-21,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1326,117,2020-04-06,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-09,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-16,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-03,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-04,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-12,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-03-01,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-01-29,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-25,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,70,7,2020-04-18,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1,1,2020-02-11,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,80,20,2020-03-19,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1,0,2020-02-12,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-07,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-18,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-02-02,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-02-05,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,127,47,2020-03-20,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,36,5,2020-04-09,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,18,1,2020-04-05,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
