name,density,densityMi,pop2020,area
Macau,21644.5,56059.255,649.335,30
Monaco,19426.7327,50315.2376,39.242,2.02
Singapore,8239.9183,21341.3884,5850.342,710
Hong Kong,6790.7437,17588.0261,7496.981,1104
Gibraltar,5615.1667,14543.2817,33.691,6
Bahrain,2224.281,5760.8879,1701.575,765
Vatican City,1820.4545,4714.9773,0.801,0.44
Maldives,1801.8133,4666.6965,540.544,300
Malta,1397.288,3618.9759,441.543,316
Sint Maarten,1261.0588,3266.1424,42.876,34
Bermuda,1153.2963,2987.0374,62.278,54
Bangladesh,1116.0086,2890.4622,164689.383,147570
Palestine,820.163,2124.2222,5101.414,6220
Saint Martin,729.5472,1889.5272,38.666,53
Mayotte,729.4519,1889.2803,272.815,374
Barbados,668.314,1730.9331,287.375,430
Taiwan,658.0492,1704.3474,23816.775,36193
Lebanon,653.0277,1691.3416,6825.445,10452
Mauritius,623.4157,1614.6466,1271.768,2040
Aruba,593.1444,1536.2441,106.766,180
San Marino,556.2459,1440.6769,33.931,61
Nauru,515.4286,1334.96,10.824,21
Korea,511.6175,1325.0892,51269.185,100210   
Rwanda,491.7692,1273.6823,12952.218,26338
Saint Barthélemy,470.3333,1218.1633,9.877,21
Comoros,467.0252,1209.5954,869.601,1862
Tuvalu,453.5385,1174.6646,11.792,26
Burundi,427.2036,1106.4572,11890.784,27834
India,419.7617,1087.1828,1380004.385,3287590
Israel,416.7325,1079.3373,8655.535,20770
Haiti,410.9019,1064.2359,11402.528,27750
Netherlands,409.4354,1060.4377,17134.872,41850
Belgium,379.6391,983.2653,11589.623,30528
Curacao,369.5788,957.2092,164.093,444
Reunion,356.556,923.4799,895.312,2511
Japan,334.6558,866.7585,126476.461,377930
Martinique,332.6817,861.6457,375.265,1128
Grenada,327.1017,847.1935,112.523,344
Marshall Islands,327.0166,846.9729,59.19,181
Sri Lanka,326.3717,845.3028,21413.249,65610
Puerto Rico,322.5313,835.3562,2860.853,8870
Philippines,320.0821,829.0127,109581.078,342353
El Salvador,308.2651,798.4065,6486.205,21041
Guam,307.4226,796.2245,168.775,549
United States Virgin Islands,300.9366,779.4258,104.425,347
Saint Lucia,298.0958,772.0681,183.627,616
Vietnam,293.886,761.1648,97338.579,331212
Saint Vincent and the Grenadines,285.1928,738.6494,110.94,389
United Kingdom,279.4813,723.8566,67886.011,242900
American Samoa,277.3417,718.315,55.191,199
Trinidad and Tobago,272.8047,706.5641,1399.488,5130
Jamaica,269.4174,697.7912,2961.167,10991
Pakistan,250.4698,648.7168,220892.34,881912
Cayman Islands,248.947,644.7727,65.722,264
Qatar,248.6668,644.0469,2881.053,11586
Guadeloupe,245.7764,636.5609,400.124,1628
Luxembourg,242.0642,626.9463,625.978,2586
Kuwait,239.6773,620.7643,4270.571,17818
Liechtenstein,238.3,617.197,38.128,160
Germany,234.614,607.6502,83783.942,357114
Sao Tome and Principe,227.3434,588.8193,219.159,964
Gambia,226.0893,585.5712,2416.668,10689
Nigeria,223.1508,577.9606,206139.589,923768
Dominican Republic,222.8824,577.2655,10847.91,48671
Antigua and Barbuda,221.5588,573.8374,97.929,442
Seychelles,217.5819,563.537,98.347,452
North Korea,213.8646,553.9094,25778.816,120538
Switzerland,209.6362,542.9578,8654.622,41284
Saint Kitts and Nevis,203.8276,527.9134,53.199,261
Italy,200.6459,519.6728,60461.826,301336
British Virgin Islands,200.2053,518.5317,30.231,151
Nepal,197.9658,512.7315,29136.808,147181
Uganda,189.3645,490.4542,45741.007,241550
Andorra,165.0962,427.599,77.265,468
Anguilla,164.8681,427.0085,15.003,91
Guatemala,164.5306,426.1341,17915.568,108889
Micronesia,163.8504,424.3726,115.023,702
Malawi,161.456,418.171,19129.952,118484
Isle of Man,148.6591,385.027,85.033,572
China,148.2775,384.0387,1439323.776,9706961
Kiribati,147.2861,381.4709,119.449,811
Togo,145.7907,377.5979,8278.724,56785
Indonesia,143.6144,371.9614,273523.615,1904569
Tonga,141.4926,366.4659,105.695,747
Cabo Verde,137.8594,357.0559,555.987,4033
Thailand,136.0305,352.319,69799.978,513120
Czechia,135.7888,351.6929,10708.981,78865
Denmark,134.4085,348.1181,5792.202,43094
Cyprus,130.5112,338.024,1207.359,9251
Ghana,130.2668,337.3911,31072.94,238533
Northern Mariana Islands,124.0496,321.2884,57.559,464
Poland,121.0398,313.4931,37846.611,312679
Moldova,119.1858,308.6913,4033.963,33846
France,118.3145,306.4345,65273.511,551695
United Arab Emirates,118.3062,306.4132,9890.402,83600
Azerbaijan,117.0806,303.2387,10139.177,86600
Jordan,114.2031,295.786,10203.134,89342
Tokelau,113.0833,292.8858,1.357,12
Slovakia,111.3372,288.3633,5459.642,49037
Sierra Leone,111.193,287.9898,7976.983,71740
Portugal,110.7255,286.779,10196.709,92090
Benin,107.645,278.8007,12123.2,112622
Turkey,107.6355,278.7759,84339.067,783562
Austria,107.3839,278.1244,9006.398,83871
Ethiopia,104.1054,269.633,114963.588,1104300
Hungary,103.8435,268.9546,9660.351,93028
Cuba,103.0779,266.9719,11326.616,109884
Slovenia,102.5471,265.5971,2078.938,20273
Egypt,102.0843,264.3983,102334.404,1002450
Albania,100.1043,259.27,2877.797,28748
Costa Rica,99.6892,258.195,5094.118,51100
Armenia,99.6282,258.0372,2963.243,29743
Serbia,98.8827,256.1061,8737.371,88361
Malaysia,97.8407,253.4074,32365.999,330803
Dominica,95.8535,248.2606,71.986,751
Syria,94.5062,244.7711,17500.658,185180
Kenya,92.6505,239.9648,53771.296,580367
Spain,92.4022,239.3217,46754.778,505992
Cambodia,92.3521,239.192,16718.965,181035
Iraq,91.7658,237.6733,40222.493,438317
Timor-Leste,88.6409,229.58,1318.445,14874
Honduras,88.0472,228.0423,9904.607,112492
Senegal,85.1147,220.447,16743.927,196722
Morocco,82.6572,214.0821,36910.56,446550
Ivory Coast,81.8025,211.8684,26378.274,322463
Macedonia,81.0242,209.8526,2083.374,25713
Romania,80.6981,209.008,19237.691,238391
Myanmar,80.4191,208.2855,54409.8,676578
Wallis and Futuna,79.1479,204.993,11.239,142
Greece,78.9685,204.5284,10423.054,131990
Burkina Faso,76.578,198.3371,20903.273,272967
Brunei,75.8853,196.543,437.479,5765
Uzbekistan,74.8082,193.7533,33469.203,447400
Cook Islands,74.4237,192.7575,17.564,236
Croatia,72.5389,187.8758,4105.267,56594
Ukraine,72.4669,187.6892,43733.762,603500
Tunisia,72.2365,187.0926,11818.619,163610
Lesotho,70.5732,182.7845,2142.249,30355
Ireland,70.2658,181.9883,4937.786,70273
Samoa,69.8149,180.8206,198.414,2842
French Polynesia,67.4125,174.5984,280.908,4167
Swaziland,66.8143,173.0491,1160.164,17364
Tajikistan,66.6502,172.624,9537.645,143100
Mexico,65.6355,169.996,128932.753,1964375
Bosnia and Herzegovina,64.0672,165.9341,3280.819,51209
Ecuador,63.7299,165.0605,17643.054,276841
Tanzania,63.205,163.7009,59734.218,945087
Bulgaria,62.6669,162.3073,6948.445,110879
Afghanistan,59.685,154.5841,38928.346,652230
Georgia,57.2334,148.2345,3989.167,69700
Panama,57.2121,148.1794,4314.767,75417
Yemen,56.492,146.3143,29825.964,527968
Cameroon,55.8341,144.6102,26545.863,475442
Guinea-Bissau,54.4775,141.0968,1968.001,36125
Guinea,53.4164,138.3485,13132.795,245857
Iran,50.9606,131.9879,83992.949,1648195
Nicaragua,50.8123,131.6039,6624.554,130373
Equatorial Guinea,50.0155,129.5402,1402.985,28051
Fiji,49.0611,127.0683,896.445,18272
Montserrat,48.9412,126.7576,4.992,102
South Africa,48.5724,125.8025,59308.69,1221037
Madagascar,47.1705,122.1716,27691.018,587041
Belarus,45.517,117.889,9449.323,207600
Montenegro,45.4725,117.7737,628.066,13812
Liberia,45.4137,117.6215,5057.681,111369
Colombia,44.5658,115.4254,50882.891,1141748
Djibouti,42.5862,110.2983,988,23200
Lithuania,41.689,107.9744,2722.289,65300
Turks and Caicos Islands,40.8407,105.7775,38.717,948
Palau,39.4205,102.099,18.094,459
Mozambique,38.9918,100.9888,31255.435,801590
DR Congo,38.1948,98.9246,89561.403,2344858
Zimbabwe,38.0362,98.5138,14862.924,390757
US,35.316,91.4683,331002.651,9372610
Faroe Islands,35.0775,90.8508,48.863,1393
Kyrgyzstan,32.629,84.509,6524.195,199951
Venezuela,31.0285,80.3639,28435.94,916445
Laos,30.7245,79.5764,7275.56,236800
Eritrea,30.1566,78.1057,3546.421,117600
Estonia,29.3306,75.9663,1326.535,45227
Latvia,29.2167,75.6711,1886.198,64559
Bahamas,28.2037,73.0475,393.244,13943
Angola,26.3626,68.2792,32866.272,1246700
Peru,25.6547,66.4457,32971.854,1285216
Chile,25.2826,65.4819,19116.201,756102
Vanuatu,25.1985,65.2642,307.145,12189
Brazil,24.9607,64.6482,212559.417,8515767
Somalia,24.9244,64.5542,15893.222,637657
Zambia,24.4269,63.2656,18383.955,752612
Saint Pierre and Miquelon,23.9421,62.0102,5.794,242
Solomon Islands,23.7709,61.5666,686.884,28896
Sudan,23.249,60.215,43849.26,1886068
Sweden,22.4281,58.0888,10099.265,450295
Bhutan,20.0971,52.0515,771.608,38394
Papua New Guinea,19.3307,50.0665,8947.024,462840
Uruguay,19.1883,49.6976,3473.73,181034
Niger,19.1055,49.4832,24206.644,1267000
Algeria,18.4113,47.6854,43851.044,2381741
South Sudan,18.0618,46.7801,11193.725,619745
New Zealand,17.8293,46.1778,4822.233,270467
Paraguay,17.5353,45.4166,7132.538,406752
Belize,17.3138,44.8427,397.628,22966
Norway,16.7425,43.363,5421.241,323802
Oman,16.4996,42.734,5106.626,309500
Finland,16.3721,42.4038,5540.72,338424
Mali,16.3288,42.2916,20250.833,1240192
Argentina,16.2551,42.1008,45195.774,2780400
Saudi Arabia,16.1948,41.9446,34813.871,2149690
Republic of the Congo,16.1348,41.789,5518.087,342000
New Caledonia,15.37,39.8083,285.498,18575
Chad,12.7927,33.1332,16425.864,1284000
Turkmenistan,12.3565,32.0033,6031.2,488100
Bolivia,10.6255,27.5202,11673.021,1098581
Russia,8.5351,22.1058,145934.462,17098242
Gabon,8.3153,21.5366,2225.734,267668
Central African Republic,7.7526,20.0793,4829.767,622984
Kazakhstan,6.8908,17.8471,18776.707,2724900
Niue,6.2538,16.1975,1.626,260
Mauritania,4.5112,11.6839,4649.658,1030700
Botswana,4.0406,10.4651,2351.627,582000
Libya,3.9052,10.1144,6871.292,1759540
Canada,3.78,9.7902,37742.154,9984670
Guyana,3.6589,9.4766,786.552,214969
Suriname,3.581,9.2747,586.632,163820
French Guiana,3.5756,9.2607,298.682,83534
Australia,3.3151,8.5861,25499.884,7692024
Iceland,3.313,8.5808,341.243,103000
Namibia,3.0776,7.971,2540.905,825615
Western Sahara,2.2456,5.8162,597.339,266000
Mongolia,2.0959,5.4285,3278.29,1564110
Falkland Islands,0.2859,0.7404,3.48,12173
Greenland,0.0262,0.0679,56.77,2166086
Kosovo,159.0,412.0,1845,10887
