ZIP,POPULATION
92105,4932
92040,2756
92066,9
92119,1211
92059,103
92096,321
91932,1858
92140,26
92104,2474
91906,221
92161,0
92114,4467
92054,2612
91914,1329
92021,4387
91931,22
92145,16
92055,2061
92081,2018
91917,46
92536,24
92003,249
92058,1654
92101,2190
92121,285
92083,3036
92103,1407
92056,3369
92007,562
92155,22
91916,133
91915,2372
92011,1515
92154,5697
92102,3019
92057,3852
92127,3537
92065,2315
92118,866
92067,589
91905,153
91963,59
91980,23
92672,380
92009,2943
92113,4054
92128,2751
92120,1545
92024,3098
91962,103
92078,3791
92116,1710
92008,1448
92117,2749
92129,3488
92025,3990
91901,1026
91950,4798
92122,2260
92075,655
92111,3234
92026,3957
92123,1854
91948,28
92130,4441
92004,238
92259,0
92064,3351
92086,81
92084,3573
92110,1670
92069,3685
91910,5813
92019,2897
91902,1054
92027,4066
92124,2049
91945,1899
92131,2519
92109,2070
92028,2998
91978,507
91942,1823
92134,10
92115,4194
92182,876
92061,151
92091,114
92020,3881
92108,1118
91911,6470
92126,4573
92029,1293
91941,1829
92135,60
92107,1309
92036,262
91935,541
92014,601
92060,63
92136,216
92106,1347
92037,1987
91977,4380
92173,2298
92093,3969
92010,901
92070,52
91913,3830
92071,3474
91934,82
92139,2312
92082,1070
92003,271
92084,3235
92011,1412
92122,3210
92118,1112
92004,277
92010,1049
92121,299
92007,576
92082,1117
92119,1356
92009,2708
92120,1783
92008,1702
92075,734
92064,3209
92259,0
92086,104
91910,5624
92069,3459
92061,138
92182,353
92091,126
91911,6165
92060,68
92173,2192
92093,2135
91913,3485
92059,103
92161,0
92096,37
91914,1213
92058,1620
92101,3975
92155,85
91915,2185
92057,3712
91901,1148
92102,2899
92154,5516
91916,155
92056,3369
92081,1972
92145,79
91917,64
92055,2088
92103,2086
92536,33
91931,20
92054,2732
92104,2956
92140,151
92066,24
91932,1966
92040,2727
92105,4860
92139,2267
92037,2383
91934,75
92106,1567
92070,56
92136,1293
92036,289
91935,515
92107,1576
92135,315
91941,2098
92029,1217
92108,1873
92083,2966
92134,27
91942,2566
92028,3029
92672,294
92109,2841
92131,2212
91945,1926
91906,247
92027,3629
92110,1889
92067,651
92130,3961
91948,44
92026,3664
91902,1182
92129,3335
91950,4075
92078,3032
92025,3496
92111,3250
91905,102
91962,104
92024,3446
92128,3020
92113,3748
91963,61
92065,2162
92021,4260
92127,3155
92114,4363
91977,4120
92071,3744
92020,3926
92126,4963
92115,4535
91978,535
92019,2954
92124,1785
92116,2108
91980,10
92014,773
92123,2112
92117,3051
92139,2255
92037,3100
91901,1038
91913,3226
91934,53
92093,55
92173,1745
91977,3940
92106,1437
92136,148
92014,756
92036,214
92060,63
92536,29
91935,468
92070,38
92107,2917
92135,47
92020,4108
92069,3066
92029,1188
92003,272
91941,2313
92067,456
91911,5186
92091,99
92126,5177
92672,429
92108,2832
92011,1332
92134,7
92010,974
92182,6
91942,3152
92083,2508
92028,2747
92118,1156
92061,167
92115,4616
92109,5886
92131,2012
91945,1727
91978,526
92027,3343
91910,5172
92086,100
92071,3779
92130,3361
92259,0
91948,33
92026,3547
92019,2629
92064,2786
92123,2643
92110,2368
91905,106
92078,3002
92129,3114
92075,850
91950,3740
92124,2337
92025,3118
91902,1038
92008,2105
92111,3394
92004,268
92120,1883
92128,3282
92122,4276
91962,94
92024,3469
92119,1564
92117,3783
92113,3214
92057,3529
91906,186
92065,2013
92154,4651
92009,2451
91915,1857
92101,5164
91980,15
91916,115
92081,2156
92056,3466
91963,53
92155,22
92102,3280
92058,1618
92145,6
91917,38
92055,1938
92021,4372
92103,3563
92084,2919
92054,3033
92140,14
91914,983
91931,19
92066,12
92127,3055
92096,0
92161,0
92116,3312
92104,4688
92007,838
92040,2607
92121,342
92082,979
91932,2005
92059,92
92114,3636
92105,4687
92129,3626
92118,1161
91913,3487
92105,4472
92037,2508
92007,755
92071,3630
92067,514
91901,1006
92014,796
92124,2120
91934,56
92102,2891
91950,3524
92173,1705
92155,4
92025,3049
91977,3718
92136,17
91931,33
92003,227
92069,3181
92106,1266
92036,196
92008,1838
92114,3361
92055,1219
91963,43
92004,197
91935,489
92145,2
92060,44
92091,127
92020,3639
92111,3110
92672,243
92070,33
92135,18
92040,2524
91980,5
92128,3512
92107,2055
92029,1170
92058,1572
91911,5398
92120,1819
92009,3013
91941,2104
91932,1744
92126,4890
91962,76
92065,2112
92024,3559
91917,45
92117,3401
92075,850
92134,0
91902,1061
92122,3279
92119,1455
92108,1818
92028,2698
92182,4
92010,1050
92096,0
91942,2680
92093,24
92021,4023
92057,3491
92082,945
92061,129
92011,1582
92113,3170
92139,2099
92083,2318
92131,2533
92116,2716
92084,2876
92259,0
92027,3255
92086,88
92123,2113
92101,3549
91945,1643
91915,2218
92127,3574
91978,500
91910,5243
92109,3393
91906,215
92154,4679
91914,1269
91905,102
92115,3993
92130,4340
92103,2758
92536,30
92121,342
92081,1931
92019,2616
92054,2584
91948,21
92078,3215
92026,3414
92059,110
92066,14
91916,106
92140,2
92056,3180
92110,1857
92064,2827
92161,0
92104,3955
92008,1986
92081,2161
92069,2971
92078,2946
92070,61
91906,206
92071,4063
92075,985
91901,1316
92182,5
91910,5271
91911,4932
92173,1628
91913,3096
92161,0
91914,1060
92155,2
91915,1889
92154,4500
91916,127
92145,1
91917,60
92140,0
91931,22
92139,2044
91932,1773
92136,3
91934,73
92672,192
91935,676
92135,13
91941,2389
92134,0
91942,2680
92131,2802
91945,1657
92130,4812
91948,39
92129,4059
91950,3388
92128,3552
91962,128
92127,3371
91963,69
91902,1097
92126,4515
91977,3919
91978,536
92124,1878
91980,11
92123,1955
92003,296
92122,2792
92004,258
92121,309
92007,798
92120,1976
92119,1565
92009,3310
92118,1232
92010,1194
92117,3640
92011,1801
92014,1054
92536,29
92116,2343
92019,3058
92115,3707
92020,4043
92114,3518
92021,4613
92113,2708
92024,3976
92111,2999
92025,3109
92110,1755
92026,3460
92109,2815
92027,3420
91905,127
92108,1483
92028,3152
92029,1378
92107,1862
92036,272
92106,1282
92037,2739
92105,4013
92040,3185
92104,3107
92054,2590
92103,2150
92055,963
92102,2442
92056,3518
92101,2728
92057,3715
92096,0
92058,1480
92059,90
92093,25
92060,54
92259,0
92091,140
92061,175
92086,84
92064,3670
92084,3094
92065,2635
92083,2426
92066,24
92082,1197
92067,764
92536,30
92103,2129
92110,1658
92056,3259
92004,352
92064,3338
92066,26
91914,764
92155,0
91948,48
92118,1229
92026,3239
92154,3401
92040,2794
92182,3
92130,3251
92057,3100
91931,41
91910,4193
92140,0
92101,2674
92109,2653
91915,1185
92086,93
92019,2913
92007,773
91945,1501
91917,57
91963,68
92027,2743
92117,3140
92145,3
92113,1813
92116,2188
92131,2340
91932,1401
92061,174
92081,1886
92127,2601
92055,756
92108,1347
92104,2759
92009,2789
92121,277
91942,2405
92115,3182
92083,1863
92028,3197
92011,1605
92071,3498
91901,1272
91905,130
92054,2414
92134,0
92173,1166
91978,491
91911,3755
92124,1785
91962,131
92107,1857
92139,1720
91941,2329
92024,3910
92014,1084
92067,761
92029,1449
92058,1272
92123,1718
92069,2460
92119,1597
92010,1067
92091,153
92128,3215
92126,4103
91980,11
92059,89
92111,2639
92065,2390
91935,619
92135,5
92102,1902
91902,1067
92114,3096
92036,372
92120,1836
92161,0
92060,50
92084,2623
92106,1325
92070,85
92096,0
91950,2677
92075,889
92093,23
92025,2498
92020,3631
91934,74
92136,0
92021,3966
92122,2694
92078,2581
92037,2754
92008,1908
92003,285
92129,3388
91913,2108
91977,3261
92105,3058
91916,152
92082,1190
92672,161
92259,0
91906,240
91910,2579
91932,763
92139,966
91977,1877
92040,1668
92114,1701
92075,645
92104,1536
92082,722
91913,1205
92672,91
91931,19
92140,0
92067,471
92054,1293
92093,8
92126,2350
92084,1580
92103,1489
92259,0
92118,889
91917,32
92066,20
92055,388
92058,757
92145,4
91963,43
92102,1050
92014,832
91914,446
92096,0
