id,name
US-MN,Minnesota
US-MT,Montana
US-ND,North Dakota
US-ID,Idaho
US-WA,Washington
US-AZ,Arizona
US-CA,California
US-CO,Colorado
US-NV,Nevada
US-NM,New Mexico
US-OR,Oregon
US-UT,Utah
US-WY,Wyoming
US-AR,Arkansas
US-IA,Iowa
US-KS,Kansas
US-MO,Missouri
US-NE,Nebraska
US-OK,Oklahoma
US-SD,South Dakota
US-LA,Louisiana
US-TX,Texas
US-CT,Connecticut
US-MA,Massachusetts
US-NH,New Hampshire
US-RI,Rhode Island
US-VT,Vermont
US-AL,Alabama
US-FL,Florida
US-GA,Georgia
US-MS,Mississippi
US-SC,South Carolina
US-IL,Illinois
US-IN,Indiana
US-KY,Kentucky
US-NC,North Carolina
US-OH,Ohio
US-TN,Tennessee
US-VA,Virginia
US-WI,Wisconsin
US-WY,Wyoming
US-WV,West Virginia
US-DE,Delaware
US-DC,District of Columbia
US-MD,Maryland
US-NJ,New Jersey
US-NY,New York
US-PA,Pennsylvania
US-ME,Maine
US-MI,Michigan
